U,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,U,W,W
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
B,W,U,U,U,W,B,W,U,W,W,W,B,W,U,B,B,W,B
W,B,U,U,U,B,W,B,U,W,W,B,W,B,B,B,B,B,W
B,W,U,U,U,W,B,W,U,W,W,W,B,W,W,W,B,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,W,W,U,W
B,W,B,W,B,W,B,W,B,W,B,W,B,W,W,W,B,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
B,W,U,U,U,W,B,W,U,U,W,W,B,W,B,B,B,W,B
W,B,U,U,U,B,W,B,U,U,U,B,W,B,B,W,B,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,B,B,B,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,B,B,W,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,B,U,U,W,B
W,B,U,U,U,B,W,B,U,U,U,B,W,B,B,B,B,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,U,U,U,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
U,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,U
